"";"X";"hexid";"meta_1";"meta_2";"meta_3";"meta_4";"meta_5";"meta_6";"meta_pop"
"49";49;49;1264,28784294109;1160,56113794291;1117,82037380512;1279,30424400474;1696,49494291988;1330,10008458819;7848,56862620193
"50";50;50;2385,11215152396;2389,37708465049;2401,3506136897;2853,74047665436;3712,35122858354;3639,81090033949;17381,7424554415
"51";51;51;4818,46718071598;4434,93757542171;4604,32117955835;4519,11901209435;6045,1504920493;5955,51884971641;30377,5142895561
"52";52;52;1193,672169985;1150,22831933359;1094,06053854936;1279,67421979647;1469,50459088886;1530,16241490022;7717,3022534535
"53";53;53;93,191980639915;117,098365413178;165,582804241323;337,386816090955;112,47998523396;74,990820353877;900,730771973208
"54";54;54;240,428278001452;256,303618821315;263,213763245297;425,434550738052;215,460567969809;258,954168181369;1659,79494695729
"55";55;55;406,977437705287;335,367782667609;379,044232518098;454,980863962956;769,064138812554;829,034134714944;3174,46859038145
"56";56;56;1899,58846054933;1889,61660242324;2171,80812222543;1890,49776071955;1863,48334678278;2305,97004044885;12020,9643331492
"57";57;57;617,655993336153;657,703369577753;740,185649130585;925,267126955265;698,054696287121;1039,59379604086;4678,46063132774
"58";58;58;406,924946888035;395,373516489463;331,879032954373;502,428814211136;700,909977314956;737,892792985931;3075,40908084389
"59";59;59;96,0485450026099;151,124474821493;84,6598452118918;93,1198145813124;128,863658967671;142,665491959944;696,481830544922
"60";60;60;1261,90467109639;1142,22547897742;912,978751372537;985,156022312873;1388,27775902403;2338,16675305682;8028,70943584007
"61";61;61;43,3699789732708;34,2048079495282;23,04483109072;36,1881753786672;67,3452166364085;57,1758244511323;261,328834479727
"62";62;62;405,027513432572;476,103300198535;730,039414816878;870,034203948243;448,324484979949;534,958540374565;3464,48745775074
"63";63;63;45,2394053467271;72,6978095308683;77,2876758802916;101,957527456648;175,819413661016;108,004473163403;581,006305038954
"64";64;64;243,20651319419;300,707417355642;220,746706433312;401,746028792749;219,073538464852;291,55550800335;1677,0357122441
"65";65;65;922,017286231256;945,05279692985;839,106366651295;824,761919708309;982,136001026703;1386,94511360232;5900,01948414973
"66";66;66;250,558213300048;199,851737737698;127,108049249821;178,095654471213;241,78538637756;198,191518178554;1195,59055931489
"67";67;67;435,507884463544;540,807986683249;518,869703700427;494,447316755485;562,411131003508;433,884740853662;2985,92876345987
"68";68;68;4789,33762554567;4016,77466758968;4469,89561636689;4622,622222482;5061,79540435191;5154,34684394115;28114,7723802773
"69";69;69;0;1,66967743358809;6,67870973435236;45,951909890803;0;0;54,3002970587435
"70";70;70;129,903113986241;160,646065250936;94,6871402683217;27,3723772208099;80,1164988589445;119,597671007847;612,3228665931
"71";71;71;394,63374604725;281,978042700354;250,238262010016;499,20971176189;466,226870708087;621,083431602329;2513,37006482993
"72";72;72;399,100013632258;386,849891657258;442,442001269218;561,836598957814;374,020059572353;476,695953564267;2640,94451865317
"73";73;73;266,841399240843;278,927432650733;313,626818370723;297,684025276281;350,96182159972;370,794414274143;1878,83591141244
"74";74;74;146,215639892916;107,048352959656;171,050619551389;162,421745172646;172,095290707403;124,072089564801;882,903737848811
"75";75;75;0,438462864628711;0,390696198872447;0,975424455155547;0;1,51244841897392;15,7708337227482;19,0878656603788
"76";76;76;233,995630217422;232,311556098953;219,341632615409;209,083374144451;228,806024539829;193,044837290686;1316,58305490675
"77";77;77;10083,6529917943;11019,3071496549;11272,4255481699;10439,8329017142;12530,0692075157;13954,4780141819;69299,7658130309
"78";78;78;4151,10210078278;3727,78780693846;3904,5947541427;3949,92503554778;4517,34434888058;5504,46772406229;25755,2217703546
"79";79;79;661,695825731661;733,287856372958;696,211960748453;792,73983206545;1084,8891946626;855,936585126687;4824,76125470781
"80";80;80;1298,95238706578;1252,52708554892;1265,15032906054;1474,60786406361;1561,63930447815;1549,73339692055;8402,61036713755
"81";81;81;3868,55694276261;3685,41695162507;3627,15118497386;4024,54428287622;5871,32894922414;5299,48555612127;26376,4838675832
"82";82;82;77,6457048275118;162,473313854413;66,9053306800306;63,8923835326336;90,3845994572868;74,277192751951;535,578525103827
"83";83;83;902,5975656725;928,052161231378;929,933295744016;967,649682421077;1398,7651132236;1218,79523254482;6345,79305083739
"84";84;84;158,135246499729;105,960634977875;106,137425416642;101,127396376961;106,932270849959;67,3998946561293;645,692868777295
"85";85;85;90,1733939153984;86,294864588707;99,5997837359257;63,4149977433393;70,4806613032089;110,04121624939;520,004917535969
"86";86;86;4411,93406980429;4842,20305497016;4690,21353795235;5099,56499546826;6430,97145756729;6284,75389224085;31759,6410080032
"87";87;87;346,775187829775;537,73253218168;453,066500625514;532,332552952647;725,631894282294;522,58386287129;3118,1225307432
"88";88;88;1595,23082797929;1843,70934675584;2095,94360585081;1913,62819109571;2090,3291000303;2735,40990903259;12274,2509807445
"89";89;89;58,9135373018299;50,7772608062112;52,3654824088403;72,8256216875244;75,0625227000958;63,6525261282837;373,596951032785
